R^2=,0.994779,Chi^2=,0.118529,,,,,,,,,
Plate,Sample,Well Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,,,,Sample Date,Project ID
160620,4,Unknown,,0.1726648,2722.5,,1.0987416,,,,6/15/2016,JY-29-198|002|27
160620,4,Unknown,,0.1649373,2616.24,,1.098933,,,,6/15/2016,JY-29-198|002|28
160620,4,Unknown,,0.1682307,2661.56,,1.0988395,,,,6/15/2016,JY-29-198|002|29
160620,4,Unknown,,0.1744798,2747.58,,1.0986327,,,,6/15/2016,JY-29-198|002|30
160620,4,Unknown,,0.1436072,2322.65,,1.0983676,,,,6/15/2016,JY-29-198|002|31
160620,4,Unknown,,0.1424027,2306.04,,1.0984941,,,,6/15/2016,JY-29-198|002|32
160620,5,Unknown,,0.1811656,2855.49,,1.0978528,,,,6/17/2016,JY-29-198|002|1
160620,5,Unknown,,0.2069452,3273.27,,1.0988087,,,,6/17/2016,JY-29-198|002|2
160620,5,Unknown,,0.2062599,3262.16,,1.0987493,,,,6/17/2016,JY-29-198|002|3
160620,5,Unknown,,0.2094136,3313.31,,1.0990034,,,,6/17/2016,JY-29-198|002|4
160620,5,Unknown,,0.1990945,3146,,1.0987647,,,,6/17/2016,JY-29-198|002|5
160620,5,Unknown,,0.2069551,3273.38,,1.0988109,,,,6/17/2016,JY-29-198|002|6
160620,5,Unknown,,0.1988602,3142.26,,1.0987834,,,,6/17/2016,JY-29-198|002|7
160620,5,Unknown,,0.1957703,3092.1,,1.0990694,,,,6/17/2016,JY-29-198|002|8
160620,6,Unknown,,0.1886841,2977.26,,1.0961313,,,,6/17/2016,JY-29-198|002|9
160620,6,Unknown,,0.206547,3266.78,,1.0984886,,,,6/17/2016,JY-29-198|002|10
160620,6,Unknown,,0.2008072,3173.83,,1.0983632,,,,6/17/2016,JY-29-198|002|11
160620,6,Unknown,,0.1897621,2994.75,,1.098493,,,,6/17/2016,JY-29-198|002|12
160620,6,Unknown,,0.1963841,3102.11,,1.098086,,,,6/17/2016,JY-29-198|002|13
160620,6,Unknown,,0.2071157,3276.02,,1.0982125,,,,6/17/2016,JY-29-198|002|14
160620,6,Unknown,,0.2104025,3329.26,,1.0985084,,,,6/17/2016,JY-29-198|002|15
160620,6,Unknown,,0.184569,2910.6,,1.098537,,,,6/17/2016,JY-29-198|002|16
160620,7,Unknown,,0.1952137,3083.08,,1.0964591,,,,6/17/2016,JY-29-198|002|17
160620,7,Unknown,,0.196053,3096.72,,1.0980904,,,,6/17/2016,JY-29-198|002|18
160620,7,Unknown,,0.2016025,3186.7,,1.098262,,,,6/17/2016,JY-29-198|002|19
160620,7,Unknown,,0.1932975,3052.06,,1.0979606,,,,6/17/2016,JY-29-198|002|20
160620,7,Unknown,,0.1463737,2360.71,,1.0972753,,,,6/17/2016,JY-29-198|002|21
160620,7,Unknown,,0.1556181,2487.98,,1.0980255,,,,6/17/2016,JY-29-198|002|22
160620,7,Unknown,,0.1821446,2871.33,,1.0986921,,,,6/17/2016,JY-29-198|002|23
160620,7,Unknown,,0.171952,2712.71,,1.0985238,,,,6/17/2016,JY-29-198|002|24
160620,8,Unknown,,0.188716,2977.81,,1.0971015,,,,6/17/2016,JY-29-198|002|25
160620,8,Unknown,,0.1916794,3025.88,,1.0979309,,,,6/17/2016,JY-29-198|002|26
160620,8,Unknown,,0.1802504,2840.64,,1.0980123,,,,6/17/2016,JY-29-198|002|27
160620,8,Unknown,,0.1738231,2738.45,,1.0981531,,,,6/17/2016,JY-29-198|002|28
160620,8,Unknown,,0.193622,3057.34,,1.0973732,,,,6/17/2016,JY-29-198|002|29
160620,8,Unknown,,0.1970958,3113.66,,1.0981938,,,,6/17/2016,JY-29-198|002|30
160620,8,Unknown,,0.1403567,2277.88,,1.098471,,,,6/17/2016,JY-29-198|002|31
160620,8,Unknown,,0.1401675,2275.24,,1.0983379,,,,6/17/2016,JY-29-198|002|32
